,pgain,vgain,class,motor_A,motor_B,motor_C,motor_D,motor_E,screw_A,screw_B,screw_C,screw_D,screw_E
0,5,4,0.28125095,0,0,0,0,1,0,0,0,0,1
1,6,5,0.5062525,0,1,0,0,0,0,0,0,1,0
2,4,3,0.35625148,0,0,0,1,0,0,0,0,1,0
3,3,2,5.500033,0,1,0,0,0,1,0,0,0,0
4,6,5,0.35625148,0,0,0,1,0,0,1,0,0,0
5,4,3,0.8062545999999999,0,0,0,0,1,0,0,1,0,0
6,3,2,5.100014,0,0,1,0,0,1,0,0,0,0
7,3,2,5.7000421999999995,1,0,0,0,0,1,0,0,0,0
8,6,5,0.76875436,0,0,1,0,0,1,0,0,0,0
9,4,1,1.0312537,0,0,0,1,0,1,0,0,0,0
10,6,5,0.46875226,0,1,0,0,0,0,0,0,0,1
11,5,4,0.39375174,0,0,0,0,1,0,0,1,0,0
12,4,1,0.28125095,0,1,0,0,0,0,0,1,0,0
13,3,1,1.1,0,0,0,0,1,0,0,1,0,0
14,5,4,0.5062525,0,0,1,0,0,0,0,1,0,0
15,3,2,1.8999897000000001,0,0,0,0,1,0,1,0,0,0
16,3,1,0.9000011,0,0,0,1,0,0,0,1,0,0
17,5,4,0.46875226,0,1,0,0,0,0,0,1,0,0
18,5,4,0.5437528,0,1,0,0,0,0,1,0,0,0
19,4,2,0.20625044,0,0,1,0,0,0,0,0,0,1
20,4,3,0.9187554,0,0,0,0,1,0,0,0,1,0
21,4,3,1.1062483,1,0,0,0,0,0,0,0,1,0
22,6,5,0.46875226,0,1,0,0,0,0,0,1,0,0
23,4,2,0.58125305,1,0,0,0,0,0,0,1,0,0
24,6,5,0.58125305,1,0,0,0,0,0,1,0,0,0
25,6,5,0.39375174,0,0,0,0,1,0,0,1,0,0
26,3,1,5.300023599999999,1,0,0,0,0,1,0,0,0,0
27,4,2,0.46875226,1,0,0,0,0,0,0,0,0,1
28,3,2,1.8999897000000001,0,0,1,0,0,0,0,0,1,0
29,3,2,4.299976999999999,0,1,0,0,0,0,1,0,0,0
30,4,2,0.35625148,0,1,0,0,0,0,0,0,0,1
31,3,1,3.8999639999999998,0,1,0,0,0,0,0,1,0,0
32,4,1,0.5437528,0,0,1,0,0,0,0,0,0,1
33,6,2,0.5437528,0,0,1,0,0,1,0,0,0,0
34,6,5,0.5062525,0,0,1,0,0,0,0,1,0,0
35,3,2,1.1,0,0,0,0,1,0,0,0,0,1
36,3,1,0.5000003,0,0,0,1,0,0,0,0,0,1
37,4,2,0.13124992,0,0,0,0,1,0,0,1,0,0
38,6,5,0.5437528,0,0,1,0,0,0,1,0,0,0
39,4,1,0.20625044,0,0,1,0,0,0,0,0,1,0
40,4,1,0.69375384,0,0,0,1,0,0,1,0,0,0
41,4,3,0.88125515,0,0,1,0,0,0,1,0,0,0
42,4,3,0.9187554,0,0,1,0,0,0,0,1,0,0
43,4,1,0.24375070000000001,0,1,0,0,0,0,0,0,1,0
44,5,3,0.6562536,0,1,0,0,0,1,0,0,0,0
45,4,3,1.0312537,1,0,0,0,0,0,1,0,0,0
46,4,1,0.8062545999999999,0,1,0,0,0,1,0,0,0,0
47,4,2,0.431252,0,0,0,0,1,0,0,0,1,0
48,3,2,4.0999675,0,0,1,0,0,0,0,0,0,1
49,3,1,0.7000006999999999,0,0,0,1,0,0,0,0,1,0
50,6,5,0.431252,0,0,0,1,0,1,0,0,0,0
51,3,2,4.499986,0,0,1,0,0,0,1,0,0,0
52,3,2,4.6999955,0,1,0,0,0,0,0,0,0,1
53,5,4,0.5062525,0,0,1,0,0,0,0,0,1,0
54,4,2,0.7312541,0,1,0,0,0,0,1,0,0,0
55,4,3,1.1437455,1,0,0,0,0,0,0,0,0,1
56,4,2,0.88125515,1,0,0,0,0,1,0,0,0,0
57,4,3,1.0312537,0,1,0,0,0,0,0,0,1,0
58,3,2,6.900098299999999,0,0,0,0,1,1,0,0,0,0
59,4,3,0.9562556999999999,0,1,0,0,0,0,0,1,0,0
